Brand,Vehicle,Year,Value,Collection,Rarity,PI
Subaru,LEGACY B4 2.0 GT ,2005,10000,"Autoshow, Wheelspin",COMMON,B 549
Subaru,IMPREZA WRX STI ,2008,27000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 539
Subaru,WRX STI ,2011,27000,"Autoshow, Wheelspin",RARE,B 547
Subaru,BRZ ,2013,25000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 463
Subaru,WRX STI ,2015,27000,"Autoshow, Wheelspin",COMMON,B 555
Subaru,WRX STI ARX Supercar ,2018,150000,Earn the Purple wristband,EPIC,S1 758
Subaru,STI S209 ,2019,250000,"""Hard to Find""",COMMON,B 575
Subaru,BRZ ,2022,28000,"Autoshow, Wheelspin",EPIC,B 551
Subaru,BRZ Forza Edition ,2022,500000,Aftermarket Car (Sotoyama Ski Resort),FORZA EDITION,A 700
Subaru,WRX ,2022,25000,"Autoshow, Wheelspin",EPIC,B 538
Toyota,Sports 800 ,1965,250000,"Wheelspin, Earn 4,000 points in the ""Regional Mascots"" category in the Collection Journal",RARE,D 141
Toyota,Sports 800 Fanta Edition ,1965,35000,Autoshow (Promotional: Fanta),RARE,D 141
Toyota,2000GT ,1969,1000000,Barn Find: North Ito,BARN FIND,D 377
Toyota,Celica GT ,1974,250000,"""Hard to Find""",RARE,D 287
Toyota,Corolla SR5 ,1974,250000,"""Hard to Find""",EPIC,D 197
Toyota,FJ40 ,1979,103000,"Autoshow, Wheelspin",COMMON,D 157
Toyota,Sprinter Trueno GT Apex ,1985,30000,"Autoshow, Wheelspin",EPIC,D 376
Toyota,Sprinter Trueno GT-APEX Forza Edition ,1985,500000,"Earn 5,000 points in the ""Master Explorer"" category in the Collection Journal",FORZA EDITION,B 600
Toyota,MR2 SC ,1989,250000,"""Hard to Find""",RARE,D 397
Toyota,Chaser GT Twin Turbo ,1991,20000,"Autoshow, Wheelspin",RARE,C 484
Toyota,Sera ,1991,11000,"Autoshow, Wheelspin",RARE,D 344
Toyota,Celica GT-Four RC ST185 ,1992,30000,Autoshow,RARE,C 438
Toyota,Supra 2.0 GT ,1992,28000,"Autoshow, Wheelspin",RARE,C 454
Toyota,#1 T100 Baja Truck ,1993,400000,"Autoshow, Wheelspin",LEGENDARY,B 584
Toyota,Celica GT-Four ST205 ,1994,27000,"Autoshow, Wheelspin, Complete the Prologue",COMMON,C 479
Toyota,J&J Motorsport Supra WTAC ,1995,420000,Autoshow (DLC: Time Attack Car Pack),EPIC,S2 828
Toyota,MR2 GT ,1995,28000,"Autoshow, Wheelspin, Aftermarket Car",RARE,B 522
Toyota,Starlet Glanza V ,1996,250000,"""Hard to Find""",COMMON,C 435
Toyota,Chaser 2.5 Tourer V ,1997,15500,"Autoshow, Earn 2,000 points in the ""Photography"" category in the Collection Journal",RARE,B 504
Toyota,Soarer 2.5 GT-T ,1997,18000,"Autoshow, Wheelspin, Earn 250 points in the ""Garages"" category in the Collection Journal",RARE,C 491
Toyota,Supra RZ ,1998,60000,"Autoshow, Wheelspin, Aftermarket Car, Earn 250 points in ""Touge & Street Racing"" category in the Collection Journal",RARE,B 526
Toyota,Altezza RS200 Z EDITION ,1999,250000,"""Hard to Find""",RARE,C 461
Toyota,Celica Sport Specialty II ,2003,12000,"Autoshow, Wheelspin",RARE,C 433
Toyota,Crown Super Deluxe Taxi ,2005,10000,"Autoshow, Wheelspin",COMMON,D 181
Toyota,86 ,2013,15800,"Autoshow, Wheelspin",RARE,C 460
Toyota,86 'Stories' ,2013,250000,"Earn 1,800 points in the ""Yuji's Auto"" category in the Collection Journal",LEGENDARY,A 685
Toyota,Land Cruiser Arctic Trucks AT37 ,2016,250000,"""Hard to Find""",RARE,D 332
Toyota,JPN Taxi ,2017,25000,"Autoshow, Wheelspin",COMMON,D 248
Toyota,4Runner TRD Pro ,2019,42000,"Autoshow, Wheelspin",RARE,C 421
Toyota,Tacoma TRD Pro ,2019,34000,"Autoshow, Wheelspin",RARE,C 409
Toyota,Tacoma TRD Pro Forza Edition ,2019,500000,Gifted (DLC: VIP Membership),FORZA EDITION,R 998
Toyota,GR Supra ,2020,45000,"Autoshow, Wheelspin, Aftermarket Car, Earn 1,000 points in ""Discovery"" category in the Collection Journal",RARE,A 616
Toyota,GR Yaris ,2021,54000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 558
Toyota,GR86 ,2022,28000,"Autoshow, Wheelspin, Earn the Yellow Wristband",COMMON,B 556
Toyota,Camry TRD ,2023,31000,Autoshow,EPIC,B 525
Toyota,GR Corolla ,2023,45000,Autoshow (DLC: Car Pass),RARE,B 596
Toyota,Prius Prime XSE Premium ,2024,40000,Autoshow (DLC: Car Pass),COMMON,C 472
Toyota,Land Cruiser ,2025,70000,"Autoshow, Wheelspin",RARE,C 456
TVR,Cerbera Speed 12 ,1998,750000,"""Hard to Find""",EPIC,S1 770
TVR,Sagaris ,2005,115000,"Autoshow, Wheelspin",RARE,A 672
TVR,Griffith ,2018,250000,Autoshow,RARE,S1 729
Ultima,Evolution Coupe 1020 ,2015,150000,"Autoshow, Wheelspin",EPIC,R 925
Volkswagen,Beetle ,1963,17000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,D 100
Volkswagen,Type 2 De Luxe ,1963,178000,"Autoshow, Earn 750 points in the ""Houses"" category in the Collection Journal",RARE,D 100
Volkswagen,Class 5/1600 Baja Bug ,1969,35000,"Autoshow, Wheelspin",RARE,D 260
Volkswagen,Pickup LX ,1982,16000,"Autoshow, Wheelspin",EPIC,D 100
Volkswagen,Golf GTI ,1983,18000,"Autoshow, Wheelspin",COMMON,D 314
Volkswagen,Rallye Golf ,1989,250000,"""Hard to Find""",RARE,C 440
Volkswagen,Golf Gti 16v Mk2 ,1992,22000,"Autoshow, Wheelspin",COMMON,D 308
Volkswagen,Corrado VR6 ,1995,30000,"Autoshow, Wheelspin",COMMON,C 426
Volkswagen,Golf R ,2010,20000,"Autoshow, Wheelspin",RARE,B 526
Volkswagen,Scirocco R ,2011,15000,"Autoshow, Wheelspin",RARE,B 548
Volkswagen,Golf R ,2014,27000,"Autoshow, Wheelspin",COMMON,B 536
Volkswagen,#34 Volkswagen Andretti Rally Cross Beetle ,2017,150000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 764
Volkswagen,Golf R ,2021,29000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 546
Volkswagen,Golf R ,2022,35000,"Autoshow, Wheelspin",RARE,B 548
Volvo,242 Turbo Evolution ,1983,30000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 435
Wuling,Sunshine S ,2013,2000,"Autoshow, Wheelspin",RARE,D 107
Wuling,Sunshine S Forza Edition ,2020,500000,Wheelspin,FORZA EDITION,S1 800
Wuling,Hongguang Mini EV ,2022,5000,"Autoshow, Wheelspin, Aftermarket Car",RARE,D 100
Zenvo,TSR-S ,2019,1200000,"Autoshow, Wheelspin",LEGENDARY,R 906
